Undergraduate Major,Starting Median Salary,Mid-Career Median Salary
Physician Assistant,"$74,300.00","$91,700.00"
Chemical Engineering,"$63,200.00","$107,000.00"
Computer Engineering,"$61,400.00","$105,000.00"
Electrical Engineering,"$60,900.00","$103,000.00"
Mechanical Engineering,"$57,900.00","$93,600.00"
